"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRVDC16","15300","1","0","yes","13189.65517","16","0","1388554","0","ZINC0204","ZI016363","yes","0","","0",""
"1","SRVDC16","15100","1","0","yes","13017.24138","16","0","1388560","0","ZINC0205","ZI016425","yes","0","","0",""
"1","SRVDC16","6120","1","0","yes","5275.86207","16","0","1388563","0","ZINC0206","ZI016500","yes","0","","0",""
"1","SRVDC16","12180","1","0","yes","10500","16","0","1388566","0","ZINC0207","DPQ00908","yes","0","","0",""
"1","SRVDC16","3659.9","1","0","yes","3155.08621","16","0","1388569","0","ZINC0208","DPQ01772","yes","0","","0",""
"1","SRVDC16","480","1","0","yes","0","16","0","1390284","0","ZINC0209","ZI030222","yes","0","","0",""
"1","SRVDC16","774.8","1","0","yes","0","16","0","1396494","0","ZINC0210","ZI030494","yes","0","","0",""
"1","SRVDC16","1176.4","1","0","yes","0","16","0","1396498","0","ZINC0212","ZI030530","yes","0","","0",""
"1","SRVDC16","323","1","0","yes","0","16","0","1396501","0","ZINC0213","ZI030531","yes","0","","0",""
"1","SRVDC16","396","1","0","yes","0","16","0","1396529","0","ZINC0211","ZI030529","yes","0","","0",""
"1","SRVDC16","1222.92","1","0","yes","0","16","0","1409111","0","ZINC0214","ZI029431","yes","0","","0",""
"1","SRVDC16","1049.8","1","0","yes","0","16","0","1416666","0","ZINC0215","ZI030764","yes","0","","0",""
"1","SRVDC16","60","1","0","yes","0","16","0","1419541","0","ZINC0216","ZI030897","yes","0","","0",""
"1","SRVDC16","85","1","0","yes","0","16","0","1419581","0","ZINC0217","ZI030902","yes","0","","0",""
"1","SRVDC16","229","1","0","yes","0","16","0","1419910","0","ZINC0218","ZI030962","yes","0","","0",""
"1","SRVDC16","866","1","0","yes","0","16","0","1427657","0","ZINC0221","ZI031303","yes","0","","0",""
"1","SRVDC16","965.1","1","0","yes","0","16","0","1428957","0","ZINC0219","ZI029730","yes","0","","0",""
"1","SRVDC16","1700","1","0","yes","0","16","0","1430929","0","ZINC0220","ZI031219","yes","0","","0",""
"1","SRVDC16","100","1","0","yes","0","16","0","1435546","0","ZINC0222","ZI031316","yes","0","","0",""
"1","SRVDC16","211.2","1","0","yes","0","16","0","1459220","0","ZINC0223","ZI031804","yes","0","","0",""
"1","SRVDC16","196.88","1","0","yes","0","16","0","1466221","0","ZINC0224","ZI031961","yes","0","","0",""
"1","SRVDC16","64.47","1","0","yes","0","16","0","1466224","0","ZINC0225","ZI031995","yes","0","","0",""
"1","SRVDC16","2347.8","1","0","yes","0","16","0","1468011","0","ZINC0226","ZI032050","yes","0","","0",""
"1","SRVDC16","391.3","1","0","yes","0","16","0","1474851","0","ZINC0229","ZI032158","yes","0","","0",""
"1","SRVDC16","72.34","1","0","yes","0","16","0","1474882","0","ZINC0227","ZI032048","yes","0","","0",""
"1","SRVDC16","189.6","1","0","yes","0","16","0","1474885","0","ZINC0228","ZI032172","yes","0","","0",""
"1","SRVDC16","147","1","0","yes","0","16","0","1482722","0","ZINC0230","ZI032214","yes","0","","0",""
"1","SRVDC16","1577","1","0","yes","0","16","0","1488108","0","ZINC0232","ZI032424","yes","0","","0",""
"1","SRVDC16","77.3","1","0","yes","0","16","0","1488139","0","ZINC0231","ZI032248","yes","0","","0",""
"1","SRVDC16","60","1","0","yes","0","16","0","1493096","0","ZINC0233","ZI032341","yes","0","","0",""
"1","SRVDC16","5160","1","0","yes","0","16","0","1498128","0","ZINC0234","ZI032632","yes","0","","0",""
"1","SRVDC16","1140","1","0","yes","0","16","0","1499576","0","ZINC0235","ZI032642","yes","0","","0",""
"1","SRVDC16","220","1","0","yes","0","16","0","1507855","0","ZINC0236","ZI032794","yes","0","","0",""
"1","SRVDC16","1080","1","0","yes","0","16","0","1523044","0","ZINC0237","ZI033072","yes","0","","0",""
"1","SRVDC16","5400","1","0","yes","0","16","0","1528481","0","ZINC0238","ZI033247","yes","0","","0",""
"1","SRVDC16","152","1","0","yes","0","16","0","1536189","0","ZINC0239","ZI033379","yes","0","","0",""
"1","SRVDC16","2700","1","0","yes","0","16","0","1553842","0","ZINC0240","ZI033899","yes","0","","0",""
"1","SRVDC16","570","1","0","yes","0","16","0","1569482","0","ZINC0241","ZI034167","yes","0","","0",""
"1","SRVDC16","126","1","0","yes","0","16","0","1578608","0","ZINC0242","ZI034244","yes","0","","0",""
"1","SRVDC16","30","1","0","yes","0","16","0","1616112","0","ZINC0243","ZI034870","yes","0","","0",""
"1","SRVDC16","60","1","0","yes","0","16","0","1616115","0","ZINC0244","ZI034756","yes","0","","0",""
